campaign_id,campaign_objective,platform,ad_placement,device_type,operating_system,creative_format,creative_size,ad_copy_length,has_call_to_action,creative_emotion,creative_age_days,target_audience_age,target_audience_gender,audience_interest_category,income_bracket,purchase_intent_score,retargeting_flag,start_date,quarter,day_of_week,hour_of_day,campaign_day,quality_score,actual_cpc,impressions,clicks,conversions,ad_spend,revenue,bounce_rate,avg_session_duration_seconds,pages_per_session,industry_vertical,budget_tier,CTR,CPC,conversion_rate,CPA,ROAS,profit
CAMP_00001,Lead Generation,Facebook,Search,Mobile,Android,Text,728x90,Short,False,Curiosity,72,45-54,Female,Shoppers,<$50K,Medium,False,2024-03-06,1,Wednesday,18,34,5,2.23,66329,402,2,896.46,289.67,67.75,70,2.0,E-commerce,High,0.606,2.23,0.498,448.23,0.32,-606.79
CAMP_00002,Engagement,Facebook,Feed,Mobile,iOS,Image,320x50,Long,True,Neutral,62,65+,Female,Business Professionals,$50K-$100K,Medium,False,2024-01-26,1,Friday,6,22,5,2.48,50094,467,5,1158.16,1728.2,63.73,105,2.74,Finance,Medium,0.932,2.48,1.071,231.63,1.49,570.04
CAMP_00003,Conversions,Google Ads,Feed,Tablet,iOS,Video,1920x1080,Short,False,Urgency,79,65+,Male,Tech Enthusiasts,<$50K,High,False,2025-05-15,2,Thursday,1,32,4,3.88,10842,112,6,434.56,2903.26,31.93,149,3.97,Healthcare,Low,1.033,3.88,5.357,72.43,6.68,2468.7
CAMP_00004,Conversions,LinkedIn,Search,Desktop,iOS,Carousel,1920x1080,Short,False,Joy,57,35-44,All,Shoppers,<$50K,Low,False,2024-07-21,3,Sunday,7,32,4,8.29,7820,123,3,1019.67,502.28,65.52,147,2.49,Education,Medium,1.573,8.29,2.439,339.89,0.49,-517.39
CAMP_00005,Brand Awareness,Facebook,Stories,Mobile,iOS,Image,1920x1080,Short,False,Joy,17,25-34,Female,Students,$100K-$200K,Low,False,2025-03-09,1,Sunday,17,52,7,1.41,21436,302,0,425.82,0.0,68.95,81,3.04,SaaS,Low,1.409,1.41,0.0,0.0,0.0,-425.82
CAMP_00006,Brand Awareness,Twitter,Search,Mobile,iOS,Image,300x250,Long,True,Curiosity,70,18-24,Male,Shoppers,<$50K,Low,False,2024-10-29,4,Tuesday,12,63,4,1.66,118264,1453,4,2411.98,1530.95,65.88,116,3.92,Healthcare,Medium,1.229,1.66,0.275,603.0,0.63,-881.03
CAMP_00007,Brand Awareness,Google Ads,Sidebar,Mobile,Android,Video,300x250,Long,True,Joy,22,25-34,Male,Shoppers,>$200K,Medium,False,2024-08-22,3,Thursday,17,21,6,2.93,117300,3940,85,11544.2,55295.55,45.76,120,1.88,E-commerce,Medium,3.359,2.93,2.157,135.81,4.79,43751.35
CAMP_00008,App Installs,LinkedIn,Feed,Mobile,Android,Image,1920x1080,Medium,True,Urgency,23,35-44,Female,Business Professionals,$50K-$100K,High,False,2025-05-01,2,Thursday,7,64,3,11.6,8605,124,4,1438.4,2424.17,47.8,155,3.03,Finance,Medium,1.441,11.6,3.226,359.6,1.69,985.77
CAMP_00009,Conversions,TikTok,Search,Mobile,Android,Image,1080x1080,Long,True,Joy,46,25-34,Female,Students,$50K-$100K,Medium,True,2025-12-27,4,Saturday,22,36,6,2.12,54499,544,9,1153.28,2385.23,54.4,77,3.72,Healthcare,Low,0.998,2.12,1.654,128.14,2.07,1231.95
CAMP_00010,Conversions,TikTok,Feed,Desktop,Android,Image,320x50,Medium,True,Urgency,49,25-34,Male,Shoppers,$50K-$100K,Medium,False,2024-09-17,3,Tuesday,7,28,7,1.71,104451,2449,100,4187.79,26278.99,49.81,151,4.81,E-commerce,Low,2.345,1.71,4.083,41.88,6.28,22091.2
CAMP_00011,Brand Awareness,Twitter,Stories,Mobile,macOS,Story,728x90,Medium,True,Joy,70,25-34,Male,Tech Enthusiasts,$100K-$200K,Medium,True,2024-05-11,2,Saturday,9,27,5,1.38,23844,575,6,793.5,2363.43,60.94,109,2.06,E-commerce,Medium,2.412,1.38,1.043,132.25,2.98,1569.93
CAMP_00012,Engagement,TikTok,Feed,Mobile,Windows,Image,1080x1080,Medium,False,Joy,20,45-54,Female,Shoppers,$100K-$200K,High,False,2024-04-08,2,Monday,15,51,4,2.46,56208,849,10,2088.54,4805.71,34.81,116,4.54,SaaS,High,1.51,2.46,1.178,208.85,2.3,2717.17
CAMP_00013,Conversions,Instagram,Feed,Tablet,Windows,Carousel,1920x1080,Short,True,Urgency,26,45-54,All,Gamers,$50K-$100K,Low,True,2025-02-17,1,Monday,1,39,9,0.52,21707,531,8,276.12,1634.77,69.79,50,2.37,Gaming,High,2.446,0.52,1.507,34.52,5.92,1358.65
CAMP_00014,Lead Generation,Facebook,Feed,Mobile,macOS,Image,300x250,Short,True,Joy,63,18-24,Male,Business Professionals,$100K-$200K,Medium,True,2025-09-01,3,Monday,9,75,4,4.07,5697,84,3,341.88,3956.75,55.94,84,2.87,Finance,Low,1.474,4.07,3.571,113.96,11.57,3614.87
CAMP_00015,Brand Awareness,Facebook,Feed,Mobile,iOS,Video,1920x1080,Medium,False,Curiosity,19,55-64,Male,Tech Enthusiasts,>$200K,High,False,2024-12-07,4,Saturday,8,34,4,1.72,15688,162,2,278.64,856.4,48.94,81,3.65,SaaS,Low,1.033,1.72,1.235,139.32,3.07,577.76
CAMP_00016,Brand Awareness,Google Ads,In-Stream Video,Mobile,Android,Carousel,1920x1080,Short,False,Trust,4,25-34,Female,Tech Enthusiasts,$50K-$100K,Low,False,2024-10-29,4,Tuesday,8,65,6,2.28,6811,189,0,430.92,0.0,84.11,65,2.25,Healthcare,Low,2.775,2.28,0.0,0.0,0.0,-430.92
CAMP_00017,Lead Generation,Google Ads,Search,Desktop,Android,Image,728x90,Medium,False,Joy,72,25-34,Female,Students,$50K-$100K,Low,False,2025-01-17,1,Friday,16,36,3,9.3,172410,2196,79,20422.8,25320.91,73.91,40,1.36,Education,High,1.274,9.3,3.597,258.52,1.24,4898.11
CAMP_00018,Lead Generation,Google Ads,Sidebar,Desktop,Android,Carousel,1080x1080,Medium,True,Joy,56,65+,Female,Shoppers,<$50K,Medium,True,2024-11-17,4,Sunday,11,23,8,3.0,9396,139,11,417.0,4130.75,53.51,70,2.16,SaaS,Medium,1.479,3.0,7.914,37.91,9.91,3713.75
CAMP_00019,Lead Generation,Google Ads,Search,Mobile,iOS,Image,1920x1080,Medium,True,Fear,35,18-24,Female,Health & Fitness,$100K-$200K,High,False,2024-04-04,2,Thursday,2,51,6,4.0,5000,129,6,516.0,2030.81,36.5,91,4.63,Education,Medium,2.58,4.0,4.651,86.0,3.94,1514.81
CAMP_00020,Lead Generation,Google Ads,Feed,Desktop,macOS,Image,1920x1080,Long,True,Joy,43,25-34,All,Tech Enthusiasts,$100K-$200K,Medium,False,2024-03-20,1,Wednesday,9,26,8,3.21,17648,1073,179,3444.33,85704.87,49.45,125,2.24,Finance,Medium,6.08,3.21,16.682,19.24,24.88,82260.54
CAMP_00021,Conversions,Google Ads,Feed,Tablet,iOS,Image,1080x1080,Medium,True,Trust,84,55-64,Female,Gamers,<$50K,High,False,2024-06-07,2,Friday,6,26,3,7.72,40231,211,13,1628.92,1328.69,27.98,102,5.97,E-commerce,Medium,0.524,7.72,6.161,125.3,0.82,-300.23
CAMP_00022,Brand Awareness,Google Ads,Feed,Mobile,Other,Carousel,1920x1080,Short,True,Joy,51,25-34,Male,Shoppers,$50K-$100K,Medium,False,2025-05-05,2,Monday,15,37,7,6.2,500000,3225,39,19995.0,10785.42,49.34,127,2.2,SaaS,Medium,0.645,6.2,1.209,512.69,0.54,-9209.58
CAMP_00023,Lead Generation,Twitter,Feed,Mobile,Windows,Image,1080x1080,Short,False,Fear,26,55-64,Male,Tech Enthusiasts,<$50K,Medium,True,2024-03-11,1,Monday,1,12,5,2.18,22908,366,5,797.88,2410.98,62.55,92,3.34,Healthcare,Medium,1.598,2.18,1.366,159.58,3.02,1613.1
CAMP_00024,Lead Generation,Google Ads,Search,Mobile,Windows,Carousel,1920x1080,Short,True,Joy,48,25-34,Female,Tech Enthusiasts,>$200K,Medium,False,2024-07-15,3,Monday,2,62,6,2.49,64294,1309,11,3259.41,6450.42,69.77,38,2.86,E-commerce,Medium,2.036,2.49,0.84,296.31,1.98,3191.01
CAMP_00025,Lead Generation,TikTok,Stories,Mobile,iOS,Video,300x250,Short,True,Trust,32,25-34,All,Gamers,$50K-$100K,Low,False,2024-11-01,4,Friday,20,86,4,1.75,70197,5127,109,8972.25,28016.44,67.39,53,1.37,E-commerce,Medium,7.304,1.75,2.126,82.31,3.12,19044.19
CAMP_00026,Conversions,Google Ads,Stories,Mobile,Android,Carousel,1200x628,Short,True,Urgency,22,18-24,All,Gamers,<$50K,Low,False,2024-08-02,3,Friday,4,38,6,5.59,162124,3577,56,19995.43,29228.1,87.61,14,2.94,Finance,Medium,2.206,5.59,1.566,357.06,1.46,9232.67
CAMP_00027,Brand Awareness,Twitter,Feed,Desktop,Android,Image,300x250,Short,True,Joy,51,25-34,Female,Tech Enthusiasts,<$50K,Medium,False,2024-12-10,4,Tuesday,16,58,5,1.41,176750,2609,86,3678.69,12634.5,49.69,234,2.92,Gaming,High,1.476,1.41,3.296,42.78,3.43,8955.81
CAMP_00028,Lead Generation,Twitter,Feed,Mobile,Android,Image,1920x1080,Short,True,Curiosity,32,18-24,All,Gamers,<$50K,Medium,False,2025-07-14,3,Monday,2,29,6,2.15,32575,930,10,1999.5,4152.41,49.74,12,2.65,Healthcare,Medium,2.855,2.15,1.075,199.95,2.08,2152.91
CAMP_00029,Conversions,LinkedIn,Feed,Desktop,macOS,Video,1920x1080,Short,True,Urgency,84,25-34,Male,Shoppers,$100K-$200K,Low,True,2025-05-16,2,Friday,19,36,4,10.46,18583,404,38,4225.84,25400.83,62.6,10,1.98,SaaS,Low,2.174,10.46,9.406,111.21,6.01,21174.99
CAMP_00030,Brand Awareness,LinkedIn,Feed,Desktop,Android,Image,1920x1080,Medium,True,Urgency,14,35-44,Male,Gamers,$100K-$200K,Medium,False,2024-05-19,2,Sunday,8,67,5,7.67,9847,91,1,697.97,767.85,50.9,187,3.02,SaaS,Low,0.924,7.67,1.099,697.97,1.1,69.88
CAMP_00031,Conversions,Google Ads,Display Network,Mobile,Android,Image,1080x1080,Medium,True,Fear,76,35-44,All,Students,$50K-$100K,Low,True,2024-05-31,2,Friday,18,74,5,3.56,119196,1936,65,6892.16,59221.69,79.12,16,1.97,Finance,High,1.624,3.56,3.357,106.03,8.59,52329.53
CAMP_00032,Brand Awareness,Instagram,Feed,Desktop,macOS,Video,1080x1080,Short,True,Trust,1,25-34,Male,Students,$50K-$100K,Medium,False,2025-09-10,3,Wednesday,17,77,7,1.13,86222,6897,183,7793.61,25745.14,37.14,136,1.85,Education,Medium,7.999,1.13,2.653,42.59,3.3,17951.53
CAMP_00033,Brand Awareness,Twitter,Search,Tablet,iOS,Interactive,1080x1080,Medium,True,Urgency,43,18-24,Male,Business Professionals,$50K-$100K,Medium,False,2024-12-22,4,Sunday,19,55,5,1.55,5731,139,1,215.45,350.64,42.59,166,1.97,SaaS,Low,2.425,1.55,0.719,215.45,1.63,135.19
CAMP_00034,Engagement,Twitter,Stories,Mobile,Windows,Carousel,300x250,Short,True,Joy,23,18-24,All,Students,$100K-$200K,High,True,2024-05-20,2,Monday,19,90,6,1.78,18395,666,23,1185.48,7418.17,45.14,112,2.45,SaaS,Low,3.621,1.78,3.453,51.54,6.26,6232.69
CAMP_00035,Engagement,LinkedIn,Feed,Tablet,Windows,Text,300x250,Long,True,Joy,28,25-34,Female,Shoppers,$50K-$100K,Medium,False,2024-09-03,3,Tuesday,15,31,7,4.47,19157,567,10,2534.49,3328.0,49.88,107,2.43,Education,Low,2.96,4.47,1.764,253.45,1.31,793.51
CAMP_00036,Conversions,Facebook,Display Network,Desktop,Android,Image,300x250,Short,True,Joy,22,18-24,All,Business Professionals,>$200K,Medium,False,2025-08-26,3,Tuesday,14,41,7,2.83,29669,1062,27,3005.46,8677.57,56.43,44,3.21,E-commerce,Medium,3.579,2.83,2.542,111.31,2.89,5672.11
CAMP_00037,Lead Generation,Twitter,Search,Tablet,macOS,Video,1200x628,Long,True,Joy,49,25-34,Female,Students,$100K-$200K,Medium,True,2025-04-30,2,Wednesday,19,66,6,1.03,36392,797,24,820.91,4355.57,31.91,61,2.43,Gaming,Medium,2.19,1.03,3.011,34.2,5.31,3534.66
CAMP_00038,Brand Awareness,Google Ads,Feed,Desktop,macOS,Image,1080x1080,Short,False,Urgency,10,35-44,Male,Health & Fitness,<$50K,High,False,2025-08-05,3,Tuesday,21,39,4,3.2,51487,640,23,2048.0,4816.3,38.19,88,4.62,E-commerce,Medium,1.243,3.2,3.594,89.04,2.35,2768.3
CAMP_00039,Conversions,LinkedIn,In-Stream Video,Desktop,Android,Image,1200x628,Long,True,Urgency,61,18-24,Female,Gamers,$100K-$200K,Low,False,2024-03-17,1,Sunday,16,27,4,6.26,5000,37,0,231.62,0.0,63.11,47,3.27,SaaS,Low,0.74,6.26,0.0,0.0,0.0,-231.62
CAMP_00040,Lead Generation,Google Ads,Feed,Desktop,Android,Image,1920x1080,Long,True,Urgency,36,45-54,Female,Tech Enthusiasts,<$50K,Medium,True,2025-04-08,2,Tuesday,4,45,5,1.85,75210,1630,74,3015.5,31251.68,60.61,83,2.76,SaaS,Medium,2.167,1.85,4.54,40.75,10.36,28236.18
CAMP_00041,Brand Awareness,Instagram,Feed,Mobile,Android,Carousel,1080x1080,Short,True,Joy,89,18-24,Male,Shoppers,<$50K,Medium,False,2025-05-04,2,Sunday,19,7,5,1.6,16432,329,1,526.4,497.09,67.11,112,2.09,Healthcare,Low,2.002,1.6,0.304,526.4,0.94,-29.31
